Expt,Well,Colony,Cell.count,Time_day,Condition,Cell.line
X20120410,G05,Sparse,31,10,Erlotinib,PC9.par
X20120410,E07,Motile,24,0,Erlotinib,PC9.par
X20120410,E07,Motile,29,1,Erlotinib,PC9.par
X20120410,E07,Motile,34,2,Erlotinib,PC9.par
X20120410,E07,Motile,41,3,Erlotinib,PC9.par
X20120410,E07,Motile,47,4,Erlotinib,PC9.par
X20120410,E07,Motile,57,5,Erlotinib,PC9.par
X20120410,E07,Motile,62,6,Erlotinib,PC9.par
X20120410,E07,Motile,64,7,Erlotinib,PC9.par
X20120410,E07,Motile,65,8,Erlotinib,PC9.par
X20120410,E07,Motile,68,9,Erlotinib,PC9.par
X20120410,E07,Motile,68,10,Erlotinib,PC9.par
X20120410,F06,Motile,42,0,Erlotinib,PC9.par
X20120410,F06,Motile,41,1,Erlotinib,PC9.par
X20120410,F06,Motile,41,2,Erlotinib,PC9.par
X20120410,F06,Motile,41,3,Erlotinib,PC9.par
X20120410,F06,Motile,37,4,Erlotinib,PC9.par
X20120410,F06,Motile,31,5,Erlotinib,PC9.par
X20120410,F06,Motile,27,6,Erlotinib,PC9.par
X20120410,F06,Motile,28,7,Erlotinib,PC9.par
X20120410,F06,Motile,27,8,Erlotinib,PC9.par
X20120410,F06,Motile,20,9,Erlotinib,PC9.par
X20120410,F06,Motile,16,10,Erlotinib,PC9.par
